TIME,GEO,CITIZEN,SEX,AGE,ASYL_APP,UNIT,Value,Flag and Footnotes
2015,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"1,256,610",
2016,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"1,206,045",
2017,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"654,610",
2018,European Union - 28 countries,Extra-EU28,Total,Total,First time applicant,Person,"586,235",
2009,Finland,Extra-EU28,Total,Total,First time applicant,Person,0,
2010,Finland,Extra-EU28,Total,Total,First time applicant,Person,0,
2011,Finland,Extra-EU28,Total,Total,First time applicant,Person,0,
2012,Finland,Extra-EU28,Total,Total,First time applicant,Person,"2,905",
2013,Finland,Extra-EU28,Total,Total,First time applicant,Person,"2,985",
2014,Finland,Extra-EU28,Total,Total,First time applicant,Person,"3,490",
2015,Finland,Extra-EU28,Total,Total,First time applicant,Person,"32,150",
2016,Finland,Extra-EU28,Total,Total,First time applicant,Person,"5,275",
2017,Finland,Extra-EU28,Total,Total,First time applicant,Person,"4,325",
2018,Finland,Extra-EU28,Total,Total,First time applicant,Person,"2,945",
2009,France,Extra-EU28,Total,Total,First time applicant,Person,"42,070",
2010,France,Extra-EU28,Total,Total,First time applicant,Person,"48,030",
2011,France,Extra-EU28,Total,Total,First time applicant,Person,"52,140",
2012,France,Extra-EU28,Total,Total,First time applicant,Person,"54,265",
2013,France,Extra-EU28,Total,Total,First time applicant,Person,"60,475",
2014,France,Extra-EU28,Total,Total,First time applicant,Person,"58,845",
2015,France,Extra-EU28,Total,Total,First time applicant,Person,"70,570",
2016,France,Extra-EU28,Total,Total,First time applicant,Person,"76,790",
2017,France,Extra-EU28,Total,Total,First time applicant,Person,"91,965",
2018,France,Extra-EU28,Total,Total,First time applicant,Person,"111,415",
2009,Germany (until 1990 former territory of the FRG),Extra-EU28,Total,Total,First time applicant,Person,"27,575",
2010,Germany (until 1990 former territory of the FRG),Extra-EU28,Total,Total,First time applicant,Person,"41,245",
2011,Germany (until 1990 former territory of the FRG),Extra-EU28,Total,Total,First time applicant,Person,"45,680",
2012,Germany (until 1990 former territory of the FRG),Extra-EU28,Total,Total,First time applicant,Person,"64,410",
2013,Germany (until 1990 former territory of the FRG),Extra-EU28,Total,Total,First time applicant,Person,"109,375",
2014,Germany (until 1990 former territory of the FRG),Extra-EU28,Total,Total,First time applicant,Person,"172,945",
2015,Germany (until 1990 former territory of the FRG),Extra-EU28,Total,Total,First time applicant,Person,"441,800",
2016,Germany (until 1990 former territory of the FRG),Extra-EU28,Total,Total,First time applicant,Person,"722,265",
2017,Germany (until 1990 former territory of the FRG),Extra-EU28,Total,Total,First time applicant,Person,"198,255",
2018,Germany (until 1990 former territory of the FRG),Extra-EU28,Total,Total,First time applicant,Person,"161,885",
2009,Greece,Extra-EU28,Total,Total,First time applicant,Person,0,
2010,Greece,Extra-EU28,Total,Total,First time applicant,Person,0,
2011,Greece,Extra-EU28,Total,Total,First time applicant,Person,"9,310",
2012,Greece,Extra-EU28,Total,Total,First time applicant,Person,"9,575",
2013,Greece,Extra-EU28,Total,Total,First time applicant,Person,"7,860",
2014,Greece,Extra-EU28,Total,Total,First time applicant,Person,"7,585",
2015,Greece,Extra-EU28,Total,Total,First time applicant,Person,"11,370",
2016,Greece,Extra-EU28,Total,Total,First time applicant,Person,"49,875",
2017,Greece,Extra-EU28,Total,Total,First time applicant,Person,"56,940",
2018,Greece,Extra-EU28,Total,Total,First time applicant,Person,"64,975",
2009,Hungary,Extra-EU28,Total,Total,First time applicant,Person,0,
2010,Hungary,Extra-EU28,Total,Total,First time applicant,Person,0,
2011,Hungary,Extra-EU28,Total,Total,First time applicant,Person,0,
2012,Hungary,Extra-EU28,Total,Total,First time applicant,Person,0,
2013,Hungary,Extra-EU28,Total,Total,First time applicant,Person,"18,565",
2014,Hungary,Extra-EU28,Total,Total,First time applicant,Person,"41,215",
2015,Hungary,Extra-EU28,Total,Total,First time applicant,Person,"174,435",
2016,Hungary,Extra-EU28,Total,Total,First time applicant,Person,"28,215",
2017,Hungary,Extra-EU28,Total,Total,First time applicant,Person,"3,115",
2018,Hungary,Extra-EU28,Total,Total,First time applicant,Person,635,
2009,Iceland,Extra-EU28,Total,Total,First time applicant,Person,0,
2010,Iceland,Extra-EU28,Total,Total,First time applicant,Person,0,
2011,Iceland,Extra-EU28,Total,Total,First time applicant,Person,0,
2012,Iceland,Extra-EU28,Total,Total,First time applicant,Person,0,
