Region,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050,2050-2055,2055-2060,2060-2065,2065-2070,2070-2075,2075-2080,2080-2085,2085-2090,2090-2095,2095-2100
Ireland,4.7,3.1,2.3,1.8,1.3,0.3,-1.1,-2.5,-3.5,-4,-3.8,-3.3,-2.8,-2.9,-3.5,-4.3
Latvia,-4.8,-5.8,-6.3,-6,-5.4,-4.9,-4.7,-4.9,-5,-4.8,-4.3,-3.6,-3.1,-2.8,-2.7,-2.8
Lithuania,-4.2,-5,-5.8,-6,-5.5,-5,-5,-5.1,-5.1,-4.8,-4.4,-3.7,-3.2,-3.1,-3.1,-3.1
Norway,3,2.2,1,-0.2,-1,-1.7,-2.3,-2.9,-3.3,-3.6,-3.7,-4,-4.2,-4.2,-4,-3.7
Sweden,2.5,1.3,-0.1,-0.7,-0.8,-0.8,-1.2,-1.8,-2.2,-2.4,-2.4,-2.5,-2.7,-2.6,-2.1,-2
United Kingdom,1.7,0.8,0,-0.6,-1,-1.5,-2.1,-2.8,-3.1,-3.2,-3.3,-3.5,-3.5,-3.4,-3.2,-3.1
Southern Europe,-3.1,-3.8,-4.4,-5,-5.7,-6.7,-7.9,-9,-9.7,-9.7,-9.1,-8.2,-7.4,-7,-6.9,-6.9
Albania,2.5,0.8,-0.9,-2.3,-3.3,-3.9,-4.3,-4.5,-4.9,-5.5,-6.6,-7.9,-8.9,-9.2,-8.9,-8.2
Bosnia and Herzegovina,-4.1,-5.2,-6.1,-6.9,-7.8,-8.6,-9.2,-9.3,-9.3,-9.3,-9.4,-9.6,-9.7,-9.6,-9.3,-8.8
Croatia,-5,-5.3,-5.7,-6.1,-6.5,-6.8,-7.1,-7.4,-7.5,-7.7,-7.7,-7.4,-7.1,-6.8,-6.6,-6.3
Greece,-4.4,-5.1,-5.2,-5.4,-6.1,-7.2,-8.6,-9.7,-10.4,-10.5,-10,-9.2,-8.4,-7.9,-8,-8
Italy,-4,-4.7,-5.3,-5.8,-6.7,-7.8,-9.2,-10.4,-10.9,-10.5,-9.6,-8.7,-8.2,-8,-7.9,-7.8
Canada,1.8,0.6,-1,-2.5,-3.6,-4.4,-5,-5.3,-5.5,-5.9,-6.4,-6.9,-7,-6.8,-6.2,-5.5
United States of America,2.7,2,1.3,0.3,-0.6,-1.2,-1.5,-1.6,-1.7,-1.9,-2.3,-2.7,-3,-3.1,-3,-2.9
